DATE,ILCONS,ILEDUH,ILFIRE,ILGOVT,ILMFG,ILNA,ILSLIND,ILUR,SMS17000000600000001,SMU17000000600000002SA,SMU17000000600000003SA,SMU17000002000000002SA,SMU17000002000000003SA,SMU17000003000000002SA,SMU17000003000000003SA,SMU17000005500000002SA,SMU17000005500000003SA,SMU17000006500000002SA,SMU17000006500000003SA
1/1/1976,,,,,,,,6.9,,,,,,,,,,,
2/1/1976,,,,,,,,6.8,,,,,,,,,,,
3/1/1976,,,,,,,,6.7,,,,,,,,,,,
4/1/1976,,,,,,,,6.6,,,,,,,,,,,
5/1/1976,,,,,,,,6.5,,,,,,,,,,,
6/1/1976,,,,,,,,6.5,,,,,,,,,,,
7/1/1976,,,,,,,,6.6,,,,,,,,,,,
8/1/1976,,,,,,,,6.6,,,,,,,,,,,
9/1/1976,,,,,,,,6.6,,,,,,,,,,,
10/1/1976,,,,,,,,6.6,,,,,,,,,,,
11/1/1976,,,,,,,,6.5,,,,,,,,,,,
12/1/1976,,,,,,,,6.3,,,,,,,,,,,
1/1/1977,,,,,,,,6.2,,,,,,,,,,,
2/1/1977,,,,,,,,6.1,,,,,,,,,,,
3/1/1977,,,,,,,,6,,,,,,,,,,,
4/1/1977,,,,,,,,6,,,,,,,,,,,
5/1/1977,,,,,,,,6.1,,,,,,,,,,,
6/1/1977,,,,,,,,6.2,,,,,,,,,,,
7/1/1977,,,,,,,,6.3,,,,,,,,,,,
8/1/1977,,,,,,,,6.4,,,,,,,,,,,
9/1/1977,,,,,,,,6.4,,,,,,,,,,,
10/1/1977,,,,,,,,6.4,,,,,,,,,,,
11/1/1977,,,,,,,,6.4,,,,,,,,,,,
12/1/1977,,,,,,,,6.3,,,,,,,,,,,
1/1/1978,,,,,,,,6.3,,,,,,,,,,,
2/1/1978,,,,,,,,6.3,,,,,,,,,,,
3/1/1978,,,,,,,,6.3,,,,,,,,,,,
4/1/1978,,,,,,,,6.2,,,,,,,,,,,
5/1/1978,,,,,,,,6.1,,,,,,,,,,,
6/1/1978,,,,,,,,6,,,,,,,,,,,
7/1/1978,,,,,,,,5.9,,,,,,,,,,,
8/1/1978,,,,,,,,5.8,,,,,,,,,,,
9/1/1978,,,,,,,,5.7,,,,,,,,,,,
10/1/1978,,,,,,,,5.7,,,,,,,,,,,
11/1/1978,,,,,,,,5.6,,,,,,,,,,,
12/1/1978,,,,,,,,5.6,,,,,,,,,,,
1/1/1979,,,,,,,,5.6,,,,,,,,,,,
2/1/1979,,,,,,,,5.5,,,,,,,,,,,
3/1/1979,,,,,,,,5.5,,,,,,,,,,,
4/1/1979,,,,,,,,5.4,,,,,,,,,,,
5/1/1979,,,,,,,,5.2,,,,,,,,,,,
6/1/1979,,,,,,,,5.2,,,,,,,,,,,
7/1/1979,,,,,,,,5.2,,,,,,,,,,,
8/1/1979,,,,,,,,5.3,,,,,,,,,,,
9/1/1979,,,,,,,,5.5,,,,,,,,,,,
10/1/1979,,,,,,,,5.8,,,,,,,,,,,
11/1/1979,,,,,,,,6,,,,,,,,,,,
12/1/1979,,,,,,,,6.3,,,,,,,,,,,
1/1/1980,,,,,,,,6.5,,,,,,,,,,,
2/1/1980,,,,,,,,6.8,,,,,,,,,,,
3/1/1980,,,,,,,,7.2,,,,,,,,,,,
4/1/1980,,,,,,,,7.6,,,,,,,,,,,
5/1/1980,,,,,,,,8.1,,,,,,,,,,,
6/1/1980,,,,,,,,8.4,,,,,,,,,,,
7/1/1980,,,,,,,,8.7,,,,,,,,,,,
8/1/1980,,,,,,,,8.9,,,,,,,,,,,
9/1/1980,,,,,,,,8.9,,,,,,,,,,,
10/1/1980,,,,,,,,8.9,,,,,,,,,,,
11/1/1980,,,,,,,,8.9,,,,,,,,,,,
12/1/1980,,,,,,,,8.9,,,,,,,,,,,
1/1/1981,,,,,,,,8.8,,,,,,,,,,,
2/1/1981,,,,,,,,8.7,,,,,,,,,,,
3/1/1981,,,,,,,,8.5,,,,,,,,,,,
4/1/1981,,,,,,,,8.4,,,,,,,,,,,
5/1/1981,,,,,,,,8.3,,,,,,,,,,,
6/1/1981,,,,,,,,8.2,,,,,,,,,,,
7/1/1981,,,,,,,,8.2,,,,,,,,,,,
8/1/1981,,,,,,,,8.3,,,,,,,,,,,
9/1/1981,,,,,,,,8.4,,,,,,,,,,,
10/1/1981,,,,,,,,8.6,,,,,,,,,,,
11/1/1981,,,,,,,,8.9,,,,,,,,,,,
12/1/1981,,,,,,,,9.1,,,,,,,,,,,
1/1/1982,,,,,,,-2.64,9.4,,,,,,,,,,,
2/1/1982,,,,,,,-2.58,9.7,,,,,,,,,,,
3/1/1982,,,,,,,-2.45,10.1,,,,,,,,,,,
4/1/1982,,,,,,,-2.57,10.5,,,,,,,,,,,
5/1/1982,,,,,,,-2.64,10.9,,,,,,,,,,,
6/1/1982,,,,,,,-2.76,11.3,,,,,,,,,,,
7/1/1982,,,,,,,-1.8,11.7,,,,,,,,,,,
8/1/1982,,,,,,,-1.64,12,,,,,,,,,,,
9/1/1982,,,,,,,-1.66,12.3,,,,,,,,,,,
10/1/1982,,,,,,,-1.1,12.6,,,,,,,,,,,
11/1/1982,,,,,,,-0.31,12.8,,,,,,,,,,,
12/1/1982,,,,,,,0.62,13,,,,,,,,,,,
1/1/1983,,,,,,,1.31,13.1,,,,,,,,,,,
2/1/1983,,,,,,,2.11,13.1,,,,,,,,,,,
3/1/1983,,,,,,,2.57,13,,,,,,,,,,,
4/1/1983,,,,,,,3.03,12.8,,,,,,,,,,,
5/1/1983,,,,,,,3.34,12.5,,,,,,,,,,,
6/1/1983,,,,,,,3.62,12.2,,,,,,,,,,,
7/1/1983,,,,,,,3.77,11.8,,,,,,,,,,,
8/1/1983,,,,,,,3.47,11.4,,,,,,,,,,,
9/1/1983,,,,,,,3.55,11,,,,,,,,,,,
10/1/1983,,,,,,,3.16,10.6,,,,,,,,,,,
11/1/1983,,,,,,,3.23,10.3,,,,,,,,,,,
12/1/1983,,,,,,,2.98,10,,,,,,,,,,,
1/1/1984,,,,,,,2.96,9.8,,,,,,,,,,,
2/1/1984,,,,,,,3.34,9.6,,,,,,,,,,,
3/1/1984,,,,,,,3.42,9.4,,,,,,,,,,,
4/1/1984,,,,,,,3.53,9.1,,,,,,,,,,,
5/1/1984,,,,,,,2.83,8.9,,,,,,,,,,,
6/1/1984,,,,,,,2.37,8.8,,,,,,,,,,,
7/1/1984,,,,,,,2.35,8.7,,,,,,,,,,,
8/1/1984,,,,,,,1.26,8.7,,,,,,,,,,,
9/1/1984,,,,,,,1.62,8.8,,,,,,,,,,,
10/1/1984,,,,,,,1.44,8.8,,,,,,,,,,,
11/1/1984,,,,,,,1.3,8.9,,,,,,,,,,,
12/1/1984,,,,,,,1.32,8.9,,,,,,,,,,,
1/1/1985,,,,,,,1.36,8.9,,,,,,,,,,,
2/1/1985,,,,,,,1.41,8.9,,,,,,,,,,,
3/1/1985,,,,,,,1.23,8.9,,,,,,,,,,,
4/1/1985,,,,,,,0.69,9,,,,,,,,,,,
5/1/1985,,,,,,,0.53,9.1,,,,,,,,,,,
6/1/1985,,,,,,,0.67,9.2,,,,,,,,,,,
7/1/1985,,,,,,,1.07,9.3,,,,,,,,,,,
8/1/1985,,,,,,,1.82,9.3,,,,,,,,,,,
9/1/1985,,,,,,,1.91,9.2,,,,,,,,,,,
10/1/1985,,,,,,,1.79,9.1,,,,,,,,,,,
11/1/1985,,,,,,,1.93,9,,,,,,,,,,,
